"","UWI","Source","Survey.ID","Depth.Measured","Depth.True.Vertical","Drift.Angle","Drift.Direction","North.South.Coordinate.Distance","North.South.Coordinate.Direction","East.West.Coordinate.Distance","East.West.Coordinate.Direction","Type","Point.Type.Name","PRODFit.Formation.Code","PRODFit.Formation.Name","Surface_longitude","Surface_Latitude","Well.Name","Lease","ns_meter","ew_meter","LatitudeVector","LongitudeVector","UWI_10","MaxDepth","year","RowOrder","Nearest Distance","Formation"
"6515","42317409800000","PI","1",13969,-8543.78,89.76,347.4,5333.33,"N",919.14,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1625.599,-280.1539,32.36821,-101.9644,4231740980,-8561.56,NA,6515,63.76644,"WFMPA"
"6516","42317409800000","PI","1",14063,-8542.56,91.72,347.25,5425.03,"N",939.77,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1653.549,-286.4419,32.36846,-101.9644,4231740980,-8561.56,NA,6516,63.76644,"WFMPA"
"6517","42317409800000","PI","1",14159,-8540.84,90.34,347.19,5518.63,"N",961,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1682.078,-292.9128,32.36871,-101.9645,4231740980,-8561.56,NA,6517,63.76644,"WFMPA"
"6518","42317409800000","PI","1",14253,-8540.64,89.9,348.43,5610.51,"N",980.85,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1710.083,-298.9631,32.36896,-101.9646,4231740980,-8561.56,NA,6518,63.76644,"WFMPA"
"6519","42317409800000","PI","1",14348,-8541.39,89.2,347.92,5703.49,"N",1000.31,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1738.424,-304.8945,32.36922,-101.9646,4231740980,-8561.56,NA,6519,63.76644,"WFMPA"
"6520","42317409800000","PI","1",14443,-8541.91,90.17,348.61,5796.5,"N",1019.63,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1766.773,-310.7832,32.36947,-101.9647,4231740980,-8561.56,NA,6520,63.76644,"WFMPA"
"6521","42317409800000","PI","1",14538,-8542.93,88.6,347.01,5889.35,"N",1039.69,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1795.074,-316.8975,32.36973,-101.9648,4231740980,-8561.56,NA,6521,63.76644,"WFMPA"
"6522","42317409800000","PI","1",14632,-8545.95,87.72,346.11,5980.73,"N",1061.53,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1822.926,-323.5544,32.36998,-101.9648,4231740980,-8561.56,NA,6522,63.76644,"WFMPA"
"6523","42317409800000","PI","1",14727,-8547.46,90.46,346.33,6072.97,"N",1084.15,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1851.041,-330.4489,32.37023,-101.9649,4231740980,-8561.56,NA,6523,63.76644,"WFMPA"
"6524","42317409800000","PI","1",14822,-8547.25,89.79,345.9,6165.2,"N",1106.95,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1879.153,-337.3983,32.37048,-101.965,4231740980,-8561.56,NA,6524,63.76644,"WFMPA"
"6525","42317409800000","PI","1",14917,-8547.17,90.3,346.47,6257.45,"N",1129.63,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1907.271,-344.3112,32.37074,-101.9651,4231740980,-8561.56,NA,6525,63.76644,"WFMPA"
"6526","42317409800000","PI","1",15012,-8546.58,90.42,347.75,6350.05,"N",1150.82,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1935.495,-350.7699,32.37099,-101.9651,4231740980,-8561.56,NA,6526,63.76644,"WFMPA"
"6527","42317409800000","PI","1",15108,-8546.06,90.2,348.91,6444.06,"N",1170.24,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1964.15,-356.6891,32.37125,-101.9652,4231740980,-8561.56,NA,6527,63.76644,"WFMPA"
